EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,measurement_no,leaf_length_cm,leaf_width_cm,leaf_ligule,stem_count,canopy_height,stem_id,field_flowering_score
61,08/05/2012,,,2,4,22.5,1.9,0,,,,
61,08/05/2012,,,2,5,20.0,0.8,0,,,,
61,08/05/2012,,,3,0,,,,,,1,0
61,08/05/2012,,,3,2,11.0,1.7,1,,,,
61,08/05/2012,,,3,3,17.1,1.6,0,,,,
61,08/05/2012,,,3,4,12.9,0.6,0,,,,
62,08/05/2012,,,0,0,,,,28.0,,,
62,08/05/2012,,,1,0,,,,,,1,0
62,08/05/2012,,,1,3,16.0,2.0,1,,,,
62,08/05/2012,,,1,4,23.0,2.5,0,,,,
62,08/05/2012,,,1,5,20.0,1.9,0,,,,
62,08/05/2012,,,1,6,7.0,0.3,0,,,,
62,08/05/2012,,,2,0,,,,,,1,0
62,08/05/2012,,,2,2,2.0,1.0,1,,,,
62,08/05/2012,,,2,3,15.5,1.2,1,,,,
62,08/05/2012,,,2,4,7.0,0.4,0,,,,
62,08/05/2012,,,3,0,,,,,,1,0
62,08/05/2012,,,3,1,6.5,1.2,1,,,,
62,08/05/2012,,,3,2,12.0,1.7,1,,,,
62,08/05/2012,,,3,3,14.0,1.5,0,,,,
62,08/05/2012,,,3,4,4.0,0.5,0,,,,
35,16/05/2012,,,0,0,,,,50.5,,,
35,16/05/2012,,,1,0,,,,,,1,0
35,16/05/2012,,,1,3,21.5,1.5,1,,,,
35,16/05/2012,,,1,4,20.0,1.3,0,,,,
35,16/05/2012,,,1,5,9.0,0.3,0,,,,
35,16/05/2012,,,2,0,,,,,,1,0
35,16/05/2012,,,2,2,18.0,1.4,1,,,,
35,16/05/2012,,,2,3,25.5,1.4,0,,,,
35,16/05/2012,,,2,4,17.0,1.0,0,,,,
35,16/05/2012,,,2,5,7.0,0.4,0,,,,
35,16/05/2012,,,3,0,,,,,,1,0
35,16/05/2012,,,3,2,10.0,1.0,1,,,,
35,16/05/2012,,,3,3,22.0,1.3,1,,,,
35,16/05/2012,,,3,4,25.5,1.3,0,,,,
35,16/05/2012,,,3,5,15.5,1.0,0,,,,
35,16/05/2012,,,3,6,4.5,0.2,0,,,,
36,16/05/2012,,,0,0,,,,23.3325,,,
36,16/05/2012,,,1,0,,,,,,1,0
36,16/05/2012,,,1,3,23.0,2.2,1,,,,
36,16/05/2012,,,1,4,31.0,2.7,0,,,,
36,16/05/2012,,,1,5,27.5,2.5,0,,,,
36,16/05/2012,,,1,6,15.0,1.0,0,,,,
36,16/05/2012,,,1,7,2.0,0.1,0,,,,
36,16/05/2012,,,2,0,,,,,,1,0
36,16/05/2012,,,2,2,13.0,2.0,1,,,,
36,16/05/2012,,,2,3,23.0,2.3,1,,,,
36,16/05/2012,,,2,4,25.5,2.3,0,,,,
36,16/05/2012,,,2,5,15.0,1.0,0,,,,
36,16/05/2012,,,3,0,,,,,,1,0
36,16/05/2012,,,3,2,0.0,0.0,0,,,,
36,16/05/2012,,,3,3,35.0,2.5,1,,,,
36,16/05/2012,,,3,4,35.0,2.0,0,,,,
36,16/05/2012,,,3,5,17.0,0.7,0,,,,
39,16/05/2012,,,0,0,,,,30.5,,,
